Date,Close,High,Low,Open,Volume
18/05/2012,37.99576950073242,44.724291080463374,37.767179134613514,41.79236457359019,573576400
21/05/2012,33.821502685546875,36.435390178318876,32.79781453598124,36.306185604939394,168192700
22/05/2012,30.81006432,33.38419564738151,30.750432464034663,32.41020052074436,101786600
23/05/2012,31.803937911987305,32.300874441862106,31.167859760359534,31.17779871843652,73600000
24/05/2012,32.82762527,33.00652272503711,31.57534691333061,32.748117403003555,50237200
25/05/2012,31.714487075805664,32.74811589912241,30.919389439148397,32.69842300770469,37149800
29/05/2012,28.663297653198242,31.495836100271205,28.47446125121676,31.287121783204867,78063400
30/05/2012,28.017284393310547,29.36895058,27.689306332399436,28.52415992302091,57267900
31/05/2012,29.41864585876465,29.48821667652533,26.66561675588059,28.37507790536662,111639200
01/06/2012,27.55016326904297,28.971402188893666,27.22218520258993,28.712994940224213,41855500
04/06/2012,26.735183715820312,27.480588476832004,26.278003038984394,27.03334675762239,35230300
05/06/2012,25.711496353149414,27.58991579,25.592230754377372,26.536410899697024,42473400
06/06/2012,26.645736694335938,27.00353160908085,25.36364140927077,25.910270843986645,61489200
07/06/2012,26.148799896240234,27.18242879719229,25.98978035696491,26.83457284,26159500
08/06/2012,26.933961868286133,27.589917974302555,26.27800576226971,26.387330516164095,38034000
11/06/2012,26.844512939453125,27.898017905694353,26.675554434858185,27.013471444048065,28219600
12/06/2012,27.23212242126465,27.599856300470993,26.794817728720947,27.311632193030547,15816800
13/06/2012,27.10291862487793,27.927833183486076,26.93396012995036,27.490528509144887,17102800
14/06/2012,28.116670608520508,28.146485587977967,27.212244353173865,27.480590542265865,16855000
15/06/2012,29.82613182067871,29.915580550918445,28.176302633954148,28.335322177566454,43563800
18/06/2012,31.217552185058594,31.883449096553747,29.229806095487657,29.776435511854707,42978900
19/06/2012,31.714487075805664,31.982833239050855,30.511901663403762,31.34675512972504,30849000
20/06/2012,31.406387329101562,31.734365344841205,30.95914372,31.724426387314267,15553600
21/06/2012,31.64491844177246,32.30087451095737,31.316940407180006,31.47595994542711,21875300
22/06/2012,32.847503662109375,33.24505440006592,31.863571462220392,32.21142551443876,74834000
25/06/2012,31.86357307434082,32.81769034,31.356695668234792,32.65867079915664,24352900
26/06/2012,32.897193908691406,33.23511087135874,32.30087164107823,32.489706141180015,24858700
27/06/2012,32.03252410888672,32.69842094,31.704546117506595,32.261114428041495,28568000
